rarity,predicted_response
2.081794091163647,-0.3930666495830887
2.2475509586717375,-0.13021937002788916
2.4133078261798273,0.10234277004091863
2.5790646936879176,0.3046197706233368
2.7448215611960074,0.4766116317193625
2.9105784287040977,0.6183183533289995
3.0763352962121875,0.7297399354522456
3.2420921637202778,0.8108763780891025
3.407849031228368,0.8617276812395652
3.573605898736458,0.88229384490364
3.7393627662445477,0.8725748690813252
3.905119633752638,0.8325707537726189
4.070876501260728,0.7622814989775176
4.236633368768818,0.6617071046960337
4.402390236276908,0.5308475709281562
4.568147103784998,0.369702897673886
4.733903971293088,0.1782730849332278
4.899660838801179,-0.043441867293827124
5.065417706309269,-0.29544195900726644
5.231174573817359,-0.5777271902070992
5.3969314413254486,-0.8902975608933196
5.562688308833539,-1.2331530710659313
5.728445176341628,-1.6062937207249304
5.8942020438497185,-2.009719509870325
6.059958911357809,-2.4434304385021117
6.225715778865899,-2.9074265066202893
6.391472646373989,-3.401707714224851
6.5572295138820795,-3.926274061315808
6.72298638139017,-4.481125547893156
6.888743248898259,-5.066262173956889
